2011-06-12 09:48:53,906 [DEBUG] org.springframework.core.io.support.PathMatchingResourcePatternResolver  - Resolved location pattern [classpath*:com/soar/ax/service/**/*.class] to resources [file [E:\workspace8.5\com.soar.ax\ax-web\src\main\webapp\WEB-INF\classes\com\soar\ax\service\ArticleService.class], file [E:\workspace8.5\com.soar.ax\ax-web\src\main\webapp\WEB-INF\classes\com\soar\ax\service\BaseService.class], file [E:\workspace8.5\com.soar.ax\ax-web\src\main\webapp\WEB-INF\classes\com\soar\ax\service\manage\UsersService.class], file [E:\workspace8.5\com.soar.ax\ax-web\src\main\webapp\WEB-INF\classes\com\soar\ax\service\OrderServiceTest.class], file [E:\workspace8.5\com.soar.ax\ax-web\src\main\webapp\WEB-INF\classes\com\soar\ax\service\OrdersService.class]]
2011-06-12 09:48:53,906 [DEBUG] org.springframework.context.annotation.ClassPathBeanDefinitionScanner  - Identified candidate component class: file [E:\workspace8.5\com.soar.ax\ax-web\src\main\webapp\WEB-INF\classes\com\soar\ax\service\ArticleService.class]
2011-06-12 09:48:53,906 [DEBUG] org.springframework.context.annotation.ClassPathBeanDefinitionScanner  - Identified candidate component class: file [E:\workspace8.5\com.soar.ax\ax-web\src\main\webapp\WEB-INF\classes\com\soar\ax\service\BaseService.class]
2011-06-12 09:48:53,906 [DEBUG] org.springframework.context.annotation.ClassPathBeanDefinitionScanner  - Identified candidate component class: file [E:\workspace8.5\com.soar.ax\ax-web\src\main\webapp\WEB-INF\classes\com\soar\ax\service\manage\UsersService.class]
2011-06-12 09:48:53,937 [DEBUG] org.springframework.context.annotation.ClassPathBeanDefinitionScanner  - Identified candidate component class: file [E:\workspace8.5\com.soar.ax\ax-web\src\main\webapp\WEB-INF\classes\com\soar\ax\service\OrdersService.class]
2011-06-12 09:48:53,937 [DEBUG] org.springframework.beans.factory.xml.XmlBeanDefinitionReader  - Loaded 10 bean definitions from location pattern [spring-config/spring-context.xml]
2011-06-12 09:48:53,937 [DEBUG] org.springframework.context.support.ClassPathXmlApplicationContext  - Bean factory for org.springframework.context.support.ClassPathXmlApplicationContext@1e0bc08: org.springframework.beans.factory.support.DefaultListableBeanFactory@4a6cbf: defining beans [org.springframework.context.annotation.internalConfigurationAnnotationProcessor,org.springframework.context.annotation.internalAutowiredAnnotationProcessor,org.springframework.context.annotation.internalRequiredAnnotationProcessor,org.springframework.context.annotation.internalCommonAnnotationProcessor,org.springframework.context.annotation.internalPersistenceAnnotationProcessor,articleClient,restTemplate,articleService,baseService,usersService,ordersService,propertyConfigurer,dataSource,sessionFactory,sqlSessionFactory,hibernateGeneralDao,myBatisGeneralDao]; root of factory hierarchy
2011-06-12 09:48:54,000 [DEBUG] org.springframework.beans.factory.support.DefaultListableBeanFactory  - Creating shared instance of singleton bean 'org.springframework.context.annotation.internalConfigurationAnnotationProcessor'
2011-06-12 09:48:54,000 [DEBUG] org.springframework.beans.factory.support.DefaultListableBeanFactory  - Creating instance of bean 'org.springframework.context.annotation.internalConfigurationAnnotationProcessor'
2011-06-12 09:48:54,031 [DEBUG] org.springframework.beans.factory.support.DefaultListableBeanFactory  - Eagerly caching bean 'org.springframework.context.annotation.internalConfigurationAnnotationProcessor' to allow for resolving potential circular references
